id,text,isCorrect,questionId
1,rule,True,1
2,the,False,1
3,thus,False,1
4,remain,False,1
5,big,True,2
6,church,False,2
7,safe,False,2
8,many,False,2
9,drop,True,3
10,conference,False,3
11,news,False,3
12,your,False,3
13,know,True,4
14,serve,False,4
15,husband,False,4
16,support,False,4
17,top,True,5
18,ground,False,5
19,short,False,5
20,necessary,False,5
21,high,True,6
22,article,False,6
23,produce,False,6
24,food,False,6
25,then,True,7
26,present,False,7
27,happen,False,7
28,international,False,7
29,keep,True,8
30,have,False,8
31,meeting,False,8
32,partner,False,8
33,watch,True,9
34,all,False,9
35,paper,False,9
36,entire,False,9
37,a,True,10
38,interesting,False,10
39,arrive,False,10
40,event,False,10
41,inside,True,11
42,month,False,11
43,consumer,False,11
44,ground,False,11
45,follow,True,12
46,back,False,12
47,region,False,12
48,national,False,12
49,pay,True,13
50,cultural,False,13
51,Republican,False,13
52,cell,False,13
53,seek,True,14
54,turn,False,14
55,social,False,14
56,eight,False,14
57,allow,True,15
58,national,False,15
59,pretty,False,15
60,lose,False,15
61,test,True,16
62,enjoy,False,16
63,important,False,16
64,catch,False,16
65,former,True,17
66,produce,False,17
67,tax,False,17
68,enjoy,False,17
69,trial,True,18
70,friend,False,18
71,spend,False,18
72,as,False,18
73,response,True,19
74,want,False,19
75,character,False,19
76,article,False,19
77,scientist,True,20
78,glass,False,20
79,quality,False,20
80,husband,False,20
81,federal,True,21
82,major,False,21
83,including,False,21
84,him,False,21
85,small,True,22
86,policy,False,22
87,type,False,22
88,fish,False,22
89,tree,True,23
90,entire,False,23
91,new,False,23
92,sea,False,23
93,memory,True,24
94,student,False,24
95,scene,False,24
96,arm,False,24
97,special,True,25
98,dream,False,25
99,through,False,25
100,study,False,25
101,issue,True,26
102,down,False,26
103,education,False,26
104,far,False,26
105,treat,True,27
106,street,False,27
107,none,False,27
108,lose,False,27
109,house,True,28
110,fight,False,28
111,positive,False,28
112,a,False,28
113,between,True,29
114,station,False,29
115,hear,False,29
116,language,False,29
117,sit,True,30
118,his,False,30
119,stop,False,30
120,various,False,30
121,fight,True,31
122,body,False,31
123,themselves,False,31
124,industry,False,31
125,safe,True,32
126,hot,False,32
127,guess,False,32
128,build,False,32
129,pretty,True,33
130,continue,False,33
131,sometimes,False,33
132,think,False,33
133,hold,True,34
134,probably,False,34
135,know,False,34
136,continue,False,34
137,gas,True,35
138,live,False,35
139,material,False,35
140,subject,False,35
141,nation,True,36
142,want,False,36
143,pay,False,36
144,maintain,False,36
145,pass,True,37
