id,title,chapterId,totalTimeComplete,totalMarks,totalQuestion,questions
1,Operation see determine remain near.,1,0 days,17,6,"[{'id': 1, 'question': 'True north together population model support thing.', 'mark': 4, 'quizId': 1, 'options': [{'id': 1, 'text': 'rule', 'isCorrect': True, 'questionId': 1}, {'id': 2, 'text': 'the', 'isCorrect': False, 'questionId': 1}, {'id': 3, 'text': 'thus', 'isCorrect': False, 'questionId': 1}, {'id': 4, 'text': 'remain', 'isCorrect': False, 'questionId': 1}]}, {'id': 2, 'question': 'Region relate upon general bag face front.', 'mark': 1, 'quizId': 1, 'options': [{'id': 5, 'text': 'big', 'isCorrect': True, 'questionId': 2}, {'id': 6, 'text': 'church', 'isCorrect': False, 'questionId': 2}, {'id': 7, 'text': 'safe', 'isCorrect': False, 'questionId': 2}, {'id': 8, 'text': 'many', 'isCorrect': False, 'questionId': 2}]}, {'id': 3, 'question': 'Suddenly operation us customer.', 'mark': 5, 'quizId': 1, 'options': [{'id': 9, 'text': 'drop', 'isCorrect': True, 'questionId': 3}, {'id': 10, 'text': 'conference', 'isCorrect': False, 'questionId': 3}, {'id': 11, 'text': 'news', 'isCorrect': False, 'questionId': 3}, {'id': 12, 'text': 'your', 'isCorrect': False, 'questionId': 3}]}, {'id': 4, 'question': 'Deal around family.', 'mark': 1, 'quizId': 1, 'options': [{'id': 13, 'text': 'know', 'isCorrect': True, 'questionId': 4}, {'id': 14, 'text': 'serve', 'isCorrect': False, 'questionId': 4}, {'id': 15, 'text': 'husband', 'isCorrect': False, 'questionId': 4}, {'id': 16, 'text': 'support', 'isCorrect': False, 'questionId': 4}]}, {'id': 5, 'question': 'Worry right send strategy history process community.', 'mark': 5, 'quizId': 1, 'options': [{'id': 17, 'text': 'top', 'isCorrect': True, 'questionId': 5}, {'id': 18, 'text': 'ground', 'isCorrect': False, 'questionId': 5}, {'id': 19, 'text': 'short', 'isCorrect': False, 'questionId': 5}, {'id': 20, 'text': 'necessary', 'isCorrect': False, 'questionId': 5}]}, {'id': 6, 'question': 'Community discover another key herself sometimes.', 'mark': 1, 'quizId': 1, 'options': [{'id': 21, 'text': 'high', 'isCorrect': True, 'questionId': 6}, {'id': 22, 'text': 'article', 'isCorrect': False, 'questionId': 6}, {'id': 23, 'text': 'produce', 'isCorrect': False, 'questionId': 6}, {'id': 24, 'text': 'food', 'isCorrect': False, 'questionId': 6}]}]"
2,Live wide no anything their truth end.,1,0 days,11,5,"[{'id': 7, 'question': 'Bring water career pull year.', 'mark': 4, 'quizId': 2, 'options': [{'id': 25, 'text': 'then', 'isCorrect': True, 'questionId': 7}, {'id': 26, 'text': 'present', 'isCorrect': False, 'questionId': 7}, {'id': 27, 'text': 'happen', 'isCorrect': False, 'questionId': 7}, {'id': 28, 'text': 'international', 'isCorrect': False, 'questionId': 7}]}, {'id': 8, 'question': 'Type arrive condition team like.', 'mark': 1, 'quizId': 2, 'options': [{'id': 29, 'text': 'keep', 'isCorrect': True, 'questionId': 8}, {'id': 30, 'text': 'have', 'isCorrect': False, 'questionId': 8}, {'id': 31, 'text': 'meeting', 'isCorrect': False, 'questionId': 8}, {'id': 32, 'text': 'partner', 'isCorrect': False, 'questionId': 8}]}, {'id': 9, 'question': 'Property late ever hit finish picture.', 'mark': 2, 'quizId': 2, 'options': [{'id': 33, 'text': 'watch', 'isCorrect': True, 'questionId': 9}, {'id': 34, 'text': 'all', 'isCorrect': False, 'questionId': 9}, {'id': 35, 'text': 'paper', 'isCorrect': False, 'questionId': 9}, {'id': 36, 'text': 'entire', 'isCorrect': False, 'questionId': 9}]}, {'id': 10, 'question': 'Us answer must activity however war benefit.', 'mark': 2, 'quizId': 2, 'options': [{'id': 37, 'text': 'a', 'isCorrect': True, 'questionId': 10}, {'id': 38, 'text': 'interesting', 'isCorrect': False, 'questionId': 10}, {'id': 39, 'text': 'arrive', 'isCorrect': False, 'questionId': 10}, {'id': 40, 'text': 'event', 'isCorrect': False, 'questionId': 10}]}, {'id': 11, 'question': 'Focus way world expert decision enter dark.', 'mark': 2, 'quizId': 2, 'options': [{'id': 41, 'text': 'inside', 'isCorrect': True, 'questionId': 11}, {'id': 42, 'text': 'month', 'isCorrect': False, 'questionId': 11}, {'id': 43, 'text': 'consumer', 'isCorrect': False, 'questionId': 11}, {'id': 44, 'text': 'ground', 'isCorrect': False, 'questionId': 11}]}]"
3,Little man special hit analysis big their toward.,2,0 days,22,8,"[{'id': 12, 'question': 'Learn film throughout rich any.', 'mark': 1, 'quizId': 3, 'options': [{'id': 45, 'text': 'follow', 'isCorrect': True, 'questionId': 12}, {'id': 46, 'text': 'back', 'isCorrect': False, 'questionId': 12}, {'id': 47, 'text': 'region', 'isCorrect': False, 'questionId': 12}, {'id': 48, 'text': 'national', 'isCorrect': False, 'questionId': 12}]}, {'id': 13, 'question': 'Value fish long.', 'mark': 5, 'quizId': 3, 'options': [{'id': 49, 'text': 'pay', 'isCorrect': True, 'questionId': 13}, {'id': 50, 'text': 'cultural', 'isCorrect': False, 'questionId': 13}, {'id': 51, 'text': 'Republican', 'isCorrect': False, 'questionId': 13}, {'id': 52, 'text': 'cell', 'isCorrect': False, 'questionId': 13}]}, {'id': 14, 'question': 'Recently thought hour task bank piece need however.', 'mark': 1, 'quizId': 3, 'options': [{'id': 53, 'text': 'seek', 'isCorrect': True, 'questionId': 14}, {'id': 54, 'text': 'turn', 'isCorrect': False, 'questionId': 14}, {'id': 55, 'text': 'social', 'isCorrect': False, 'questionId': 14}, {'id': 56, 'text': 'eight', 'isCorrect': False, 'questionId': 14}]}, {'id': 15, 'question': 'Pick medical however.', 'mark': 5, 'quizId': 3, 'options': [{'id': 57, 'text': 'allow', 'isCorrect': True, 'questionId': 15}, {'id': 58, 'text': 'national', 'isCorrect': False, 'questionId': 15}, {'id': 59, 'text': 'pretty', 'isCorrect': False, 'questionId': 15}, {'id': 60, 'text': 'lose', 'isCorrect': False, 'questionId': 15}]}, {'id': 16, 'question': 'Father well a position fight win determine.', 'mark': 3, 'quizId': 3, 'options': [{'id': 61, 'text': 'test', 'isCorrect': True, 'questionId': 16}, {'id': 62, 'text': 'enjoy', 'isCorrect': False, 'questionId': 16}, {'id': 63, 'text': 'important', 'isCorrect': False, 'questionId': 16}, {'id': 64, 'text': 'catch', 'isCorrect': False, 'questionId': 16}]}, {'id': 17, 'question': 'Note hour point continue.', 'mark': 4, 'quizId': 3, 'options': [{'id': 65, 'text': 'former', 'isCorrect': True, 'questionId': 17}, {'id': 66, 'text': 'produce', 'isCorrect': False, 'questionId': 17}, {'id': 67, 'text': 'tax', 'isCorrect': False, 'questionId': 17}, {'id': 68, 'text': 'enjoy', 'isCorrect': False, 'questionId': 17}]}, {'id': 18, 'question': 'Program many several interesting road perhaps paper.', 'mark': 1, 'quizId': 3, 'options': [{'id': 69, 'text': 'trial', 'isCorrect': True, 'questionId': 18}, {'id': 70, 'text': 'friend', 'isCorrect': False, 'questionId': 18}, {'id': 71, 'text': 'spend', 'isCorrect': False, 'questionId': 18}, {'id': 72, 'text': 'as', 'isCorrect': False, 'questionId': 18}]}, {'id': 19, 'question': 'Keep best mother article under.', 'mark': 2, 'quizId': 3, 'options': [{'id': 73, 'text': 'response', 'isCorrect': True, 'questionId': 19}, {'id': 74, 'text': 'want', 'isCorrect': False, 'questionId': 19}, {'id': 75, 'text': 'character', 'isCorrect': False, 'questionId': 19}, {'id': 76, 'text': 'article', 'isCorrect': False, 'questionId': 19}]}]"
4,Trouble news program after great.,2,0 days,30,8,"[{'id': 20, 'question': 'Little computer argue difficult region exist citizen after.', 'mark': 5, 'quizId': 4, 'options': [{'id': 77, 'text': 'scientist', 'isCorrect': True, 'questionId': 20}, {'id': 78, 'text': 'glass', 'isCorrect': False, 'questionId': 20}, {'id': 79, 'text': 'quality', 'isCorrect': False, 'questionId': 20}, {'id': 80, 'text': 'husband', 'isCorrect': False, 'questionId': 20}]}, {'id': 21, 'question': 'Doctor sit happy people which practice coach.', 'mark': 3, 'quizId': 4, 'options': [{'id': 81, 'text': 'federal', 'isCorrect': True, 'questionId': 21}, {'id': 82, 'text': 'major', 'isCorrect': False, 'questionId': 21}, {'id': 83, 'text': 'including', 'isCorrect': False, 'questionId': 21}, {'id': 84, 'text': 'him', 'isCorrect': False, 'questionId': 21}]}, {'id': 22, 'question': 'Might always upon than score.', 'mark': 3, 'quizId': 4, 'options': [{'id': 85, 'text': 'small', 'isCorrect': True, 'questionId': 22}, {'id': 86, 'text': 'policy', 'isCorrect': False, 'questionId': 22}, {'id': 87, 'text': 'type', 'isCorrect': False, 'questionId': 22}, {'id': 88, 'text': 'fish', 'isCorrect': False, 'questionId': 22}]}, {'id': 23, 'question': 'Question owner foot someone identify door industry.', 'mark': 5, 'quizId': 4, 'options': [{'id': 89, 'text': 'tree', 'isCorrect': True, 'questionId': 23}, {'id': 90, 'text': 'entire', 'isCorrect': False, 'questionId': 23}, {'id': 91, 'text': 'new', 'isCorrect': False, 'questionId': 23}, {'id': 92, 'text': 'sea', 'isCorrect': False, 'questionId': 23}]}, {'id': 24, 'question': 'Opportunity better remain traditional.', 'mark': 5, 'quizId': 4, 'options': [{'id': 93, 'text': 'memory', 'isCorrect': True, 'questionId': 24}, {'id': 94, 'text': 'student', 'isCorrect': False, 'questionId': 24}, {'id': 95, 'text': 'scene', 'isCorrect': False, 'questionId': 24}, {'id': 96, 'text': 'arm', 'isCorrect': False, 'questionId': 24}]}, {'id': 25, 'question': 'Fact same toward democratic share player consider.', 'mark': 1, 'quizId': 4, 'options': [{'id': 97, 'text': 'special', 'isCorrect': True, 'questionId': 25}, {'id': 98, 'text': 'dream', 'isCorrect': False, 'questionId': 25}, {'id': 99, 'text': 'through', 'isCorrect': False, 'questionId': 25}, {'id': 100, 'text': 'study', 'isCorrect': False, 'questionId': 25}]}, {'id': 26, 'question': 'Big board tough past onto message right candidate.', 'mark': 3, 'quizId': 4, 'options': [{'id': 101, 'text': 'issue', 'isCorrect': True, 'questionId': 26}, {'id': 102, 'text': 'down', 'isCorrect': False, 'questionId': 26}, {'id': 103, 'text': 'education', 'isCorrect': False, 'questionId': 26}, {'id': 104, 'text': 'far', 'isCorrect': False, 'questionId': 26}]}, {'id': 27, 'question': 'Recognize policy almost.', 'mark': 5, 'quizId': 4, 'options': [{'id': 105, 'text': 'treat', 'isCorrect': True, 'questionId': 27}, {'id': 106, 'text': 'street', 'isCorrect': False, 'questionId': 27}, {'id': 107, 'text': 'none', 'isCorrect': False, 'questionId': 27}, {'id': 108, 'text': 'lose', 'isCorrect': False, 'questionId': 27}]}]"
5,Light decision dream his.,3,0 days,16,6,"[{'id': 28, 'question': 'Southern into cultural market environmental parent.', 'mark': 4, 'quizId': 5, 'options': [{'id': 109, 'text': 'house', 'isCorrect': True, 'questionId': 28}, {'id': 110, 'text': 'fight', 'isCorrect': False, 'questionId': 28}, {'id': 111, 'text': 'positive', 'isCorrect': False, 'questionId': 28}, {'id': 112, 'text': 'a', 'isCorrect': False, 'questionId': 28}]}, {'id': 29, 'question': 'Red entire citizen.', 'mark': 1, 'quizId': 5, 'options': [{'id': 113, 'text': 'between', 'isCorrect': True, 'questionId': 29}, {'id': 114, 'text': 'station', 'isCorrect': False, 'questionId': 29}, {'id': 115, 'text': 'hear', 'isCorrect': False, 'questionId': 29}, {'id': 116, 'text': 'language', 'isCorrect': False, 'questionId': 29}]}, {'id': 30, 'question': 'Finish nearly medical sense.', 'mark': 3, 'quizId': 5, 'options': [{'id': 117, 'text': 'sit', 'isCorrect': True, 'questionId': 30}, {'id': 118, 'text': 'his', 'isCorrect': False, 'questionId': 30}, {'id': 119, 'text': 'stop', 'isCorrect': False, 'questionId': 30}, {'id': 120, 'text': 'various', 'isCorrect': False, 'questionId': 30}]}, {'id': 31, 'question': 'Set compare raise might worker free.', 'mark': 3, 'quizId': 5, 'options': [{'id': 121, 'text': 'fight', 'isCorrect': True, 'questionId': 31}, {'id': 122, 'text': 'body', 'isCorrect': False, 'questionId': 31}, {'id': 123, 'text': 'themselves', 'isCorrect': False, 'questionId': 31}, {'id': 124, 'text': 'industry', 'isCorrect': False, 'questionId': 31}]}, {'id': 32, 'question': 'Analysis cost author worker factor speech mouth product.', 'mark': 2, 'quizId': 5, 'options': [{'id': 125, 'text': 'safe', 'isCorrect': True, 'questionId': 32}, {'id': 126, 'text': 'hot', 'isCorrect': False, 'questionId': 32}, {'id': 127, 'text': 'guess', 'isCorrect': False, 'questionId': 32}, {'id': 128, 'text': 'build', 'isCorrect': False, 'questionId': 32}]}, {'id': 33, 'question': 'Manager throw leader lead item.', 'mark': 3, 'quizId': 5, 'options': [{'id': 129, 'text': 'pretty', 'isCorrect': True, 'questionId': 33}, {'id': 130, 'text': 'continue', 'isCorrect': False, 'questionId': 33}, {'id': 131, 'text': 'sometimes', 'isCorrect': False, 'questionId': 33}, {'id': 132, 'text': 'think', 'isCorrect': False, 'questionId': 33}]}]"
6,Owner turn she.,4,0 days,23,8,"[{'id': 34, 'question': 'North language require.', 'mark': 2, 'quizId': 6, 'options': [{'id': 133, 'text': 'hold', 'isCorrect': True, 'questionId': 34}, {'id': 134, 'text': 'probably', 'isCorrect': False, 'questionId': 34}, {'id': 135, 'text': 'know', 'isCorrect': False, 'questionId': 34}, {'id': 136, 'text': 'continue', 'isCorrect': False, 'questionId': 34}]}, {'id': 35, 'question': 'Point form court explain happen service.', 'mark': 2, 'quizId': 6, 'options': [{'id': 137, 'text': 'gas', 'isCorrect': True, 'questionId': 35}, {'id': 138, 'text': 'live', 'isCorrect': False, 'questionId': 35}, {'id': 139, 'text': 'material', 'isCorrect': False, 'questionId': 35}, {'id': 140, 'text': 'subject', 'isCorrect': False, 'questionId': 35}]}, {'id': 36, 'question': 'Though cell probably teach as memory.', 'mark': 5, 'quizId': 6, 'options': [{'id': 141, 'text': 'nation', 'isCorrect': True, 'questionId': 36}, {'id': 142, 'text': 'want', 'isCorrect': False, 'questionId': 36}, {'id': 143, 'text': 'pay', 'isCorrect': False, 'questionId': 36}, {'id': 144, 'text': 'maintain', 'isCorrect': False, 'questionId': 36}]}, {'id': 37, 'question': 'Religious sometimes family land.', 'mark': 4, 'quizId': 6, 'options': [{'id': 145, 'text': 'pass', 'isCorrect': True, 'questionId': 37}, {'id': 146, 'text': 'bar', 'isCorrect': False, 'questionId': 37}, {'id': 147, 'text': 'always', 'isCorrect': False, 'questionId': 37}, {'id': 148, 'text': 'stand', 'isCorrect': False, 'questionId': 37}]}, {'id': 38, 'question': 'Summer anyone under arrive.', 'mark': 2, 'quizId': 6, 'options': [{'id': 149, 'text': 'check', 'isCorrect': True, 'questionId': 38}, {'id': 150, 'text': 'professor', 'isCorrect': False, 'questionId': 38}, {'id': 151, 'text': 'level', 'isCorrect': False, 'questionId': 38}, {'id': 152, 'text': 'discover', 'isCorrect': False, 'questionId': 38}]}, {'id': 39, 'question': 'Power lay possible foreign to.', 'mark': 1, 'quizId': 6, 'options': [{'id': 153, 'text': 'anyone', 'isCorrect': True, 'questionId': 39}, {'id': 154, 'text': 'quickly', 'isCorrect': False, 'questionId': 39}, {'id': 155, 'text': 'give', 'isCorrect': False, 'questionId': 39}, {'id': 156, 'text': 'none', 'isCorrect': False, 'questionId': 39}]}, {'id': 40, 'question': 'Practice artist development office name list.', 'mark': 2, 'quizId': 6, 'options': [{'id': 157, 'text': 'local', 'isCorrect': True, 'questionId': 40}, {'id': 158, 'text': 'two', 'isCorrect': False, 'questionId': 40}, {'id': 159, 'text': 'listen', 'isCorrect': False, 'questionId': 40}, {'id': 160, 'text': 'claim', 'isCorrect': False, 'questionId': 40}]}, {'id': 41, 'question': 'Join agent however computer read.', 'mark': 5, 'quizId': 6, 'options': [{'id': 161, 'text': 'service', 'isCorrect': True, 'questionId': 41}, {'id': 162, 'text': 'season', 'isCorrect': False, 'questionId': 41}, {'id': 163, 'text': 'course', 'isCorrect': False, 'questionId': 41}, {'id': 164, 'text': 'charge', 'isCorrect': False, 'questionId': 41}]}]"
7,Fact example team.,4,0 days,14,4,"[{'id': 42, 'question': 'A scientist eye student.', 'mark': 1, 'quizId': 7, 'options': [{'id': 165, 'text': 'wrong', 'isCorrect': True, 'questionId': 42}, {'id': 166, 'text': 'recognize', 'isCorrect': False, 'questionId': 42}, {'id': 167, 'text': 'if', 'isCorrect': False, 'questionId': 42}, {'id': 168, 'text': 'such', 'isCorrect': False, 'questionId': 42}]}, {'id': 43, 'question': 'Cut still deep least.', 'mark': 3, 'quizId': 7, 'options': [{'id': 169, 'text': 'million', 'isCorrect': True, 'questionId': 43}, {'id': 170, 'text': 'building', 'isCorrect': False, 'questionId': 43}, {'id': 171, 'text': 'ok', 'isCorrect': False, 'questionId': 43}, {'id': 172, 'text': 'reflect', 'isCorrect': False, 'questionId': 43}]}, {'id': 44, 'question': 'Clearly draw reality read building civil.', 'mark': 5, 'quizId': 7, 'options': [{'id': 173, 'text': 'executive', 'isCorrect': True, 'questionId': 44}, {'id': 174, 'text': 'guy', 'isCorrect': False, 'questionId': 44}, {'id': 175, 'text': 'which', 'isCorrect': False, 'questionId': 44}, {'id': 176, 'text': 'fish', 'isCorrect': False, 'questionId': 44}]}, {'id': 45, 'question': 'Station would threat institution blue drop.', 'mark': 5, 'quizId': 7, 'options': [{'id': 177, 'text': 'well', 'isCorrect': True, 'questionId': 45}, {'id': 178, 'text': 'remember', 'isCorrect': False, 'questionId': 45}, {'id': 179, 'text': 'national', 'isCorrect': False, 'questionId': 45}, {'id': 180, 'text': 'bring', 'isCorrect': False, 'questionId': 45}]}]"
8,Our left born example save especially rather.,5,0 days,16,5,"[{'id': 46, 'question': 'Simple pay hear degree art owner training man.', 'mark': 2, 'quizId': 8, 'options': [{'id': 181, 'text': 'herself', 'isCorrect': True, 'questionId': 46}, {'id': 182, 'text': 'near', 'isCorrect': False, 'questionId': 46}, {'id': 183, 'text': 'moment', 'isCorrect': False, 'questionId': 46}, {'id': 184, 'text': 'type', 'isCorrect': False, 'questionId': 46}]}, {'id': 47, 'question': 'Decide sell wonder of let member.', 'mark': 5, 'quizId': 8, 'options': [{'id': 185, 'text': 'left', 'isCorrect': True, 'questionId': 47}, {'id': 186, 'text': 'political', 'isCorrect': False, 'questionId': 47}, {'id': 187, 'text': 'today', 'isCorrect': False, 'questionId': 47}, {'id': 188, 'text': 'far', 'isCorrect': False, 'questionId': 47}]}, {'id': 48, 'question': 'Even compare she season.', 'mark': 5, 'quizId': 8, 'options': [{'id': 189, 'text': 'effect', 'isCorrect': True, 'questionId': 48}, {'id': 190, 'text': 'great', 'isCorrect': False, 'questionId': 48}, {'id': 191, 'text': 'up', 'isCorrect': False, 'questionId': 48}, {'id': 192, 'text': 'kid', 'isCorrect': False, 'questionId': 48}]}, {'id': 49, 'question': 'Phone role cup crime impact friend strategy main.', 'mark': 2, 'quizId': 8, 'options': [{'id': 193, 'text': 'book', 'isCorrect': True, 'questionId': 49}, {'id': 194, 'text': 'still', 'isCorrect': False, 'questionId': 49}, {'id': 195, 'text': 'lawyer', 'isCorrect': False, 'questionId': 49}, {'id': 196, 'text': 'role', 'isCorrect': False, 'questionId': 49}]}, {'id': 50, 'question': 'Next skin game ground southern.', 'mark': 2, 'quizId': 8, 'options': [{'id': 197, 'text': 'arm', 'isCorrect': True, 'questionId': 50}, {'id': 198, 'text': 'bar', 'isCorrect': False, 'questionId': 50}, {'id': 199, 'text': 'cold', 'isCorrect': False, 'questionId': 50}, {'id': 200, 'text': 'although', 'isCorrect': False, 'questionId': 50}]}]"
9,Most throw keep tax great reach how.,6,0 days,12,5,"[{'id': 51, 'question': 'Although knowledge money election whose eat image.', 'mark': 4, 'quizId': 9, 'options': [{'id': 201, 'text': 'several', 'isCorrect': True, 'questionId': 51}, {'id': 202, 'text': 'measure', 'isCorrect': False, 'questionId': 51}, {'id': 203, 'text': 'cover', 'isCorrect': False, 'questionId': 51}, {'id': 204, 'text': 'edge', 'isCorrect': False, 'questionId': 51}]}, {'id': 52, 'question': 'Only dream across second forward according employee.', 'mark': 2, 'quizId': 9, 'options': [{'id': 205, 'text': 'century', 'isCorrect': True, 'questionId': 52}, {'id': 206, 'text': 'parent', 'isCorrect': False, 'questionId': 52}, {'id': 207, 'text': 'stage', 'isCorrect': False, 'questionId': 52}, {'id': 208, 'text': 'TV', 'isCorrect': False, 'questionId': 52}]}, {'id': 53, 'question': 'Increase provide opportunity then.', 'mark': 2, 'quizId': 9, 'options': [{'id': 209, 'text': 'last', 'isCorrect': True, 'questionId': 53}, {'id': 210, 'text': 'recognize', 'isCorrect': False, 'questionId': 53}, {'id': 211, 'text': 'wife', 'isCorrect': False, 'questionId': 53}, {'id': 212, 'text': 'push', 'isCorrect': False, 'questionId': 53}]}, {'id': 54, 'question': 'Produce into should year theory claim choose.', 'mark': 2, 'quizId': 9, 'options': [{'id': 213, 'text': 'represent', 'isCorrect': True, 'questionId': 54}, {'id': 214, 'text': 'a', 'isCorrect': False, 'questionId': 54}, {'id': 215, 'text': 'affect', 'isCorrect': False, 'questionId': 54}, {'id': 216, 'text': 'significant', 'isCorrect': False, 'questionId': 54}]}, {'id': 55, 'question': 'Your month development meeting hair.', 'mark': 2, 'quizId': 9, 'options': [{'id': 217, 'text': 'property', 'isCorrect': True, 'questionId': 55}, {'id': 218, 'text': 'street', 'isCorrect': False, 'questionId': 55}, {'id': 219, 'text': 'ever', 'isCorrect': False, 'questionId': 55}, {'id': 220, 'text': 'arrive', 'isCorrect': False, 'questionId': 55}]}]"
10,Enter old reach general final mention month.,7,0 days,9,4,"[{'id': 56, 'question': 'Probably power civil create city campaign spring drop.', 'mark': 3, 'quizId': 10, 'options': [{'id': 221, 'text': 'spend', 'isCorrect': True, 'questionId': 56}, {'id': 222, 'text': 'begin', 'isCorrect': False, 'questionId': 56}, {'id': 223, 'text': 'these', 'isCorrect': False, 'questionId': 56}, {'id': 224, 'text': 'street', 'isCorrect': False, 'questionId': 56}]}, {'id': 57, 'question': 'Trial down probably material opportunity street cold.', 'mark': 3, 'quizId': 10, 'options': [{'id': 225, 'text': 'responsibility', 'isCorrect': True, 'questionId': 57}, {'id': 226, 'text': 'live', 'isCorrect': False, 'questionId': 57}, {'id': 227, 'text': 'yourself', 'isCorrect': False, 'questionId': 57}, {'id': 228, 'text': 'professional', 'isCorrect': False, 'questionId': 57}]}, {'id': 58, 'question': 'Social day matter message.', 'mark': 2, 'quizId': 10, 'options': [{'id': 229, 'text': 'page', 'isCorrect': True, 'questionId': 58}, {'id': 230, 'text': 'idea', 'isCorrect': False, 'questionId': 58}, {'id': 231, 'text': 'enjoy', 'isCorrect': False, 'questionId': 58}, {'id': 232, 'text': 'share', 'isCorrect': False, 'questionId': 58}]}, {'id': 59, 'question': 'Small central bag must car yeah window.', 'mark': 1, 'quizId': 10, 'options': [{'id': 233, 'text': 'yes', 'isCorrect': True, 'questionId': 59}, {'id': 234, 'text': 'still', 'isCorrect': False, 'questionId': 59}, {'id': 235, 'text': 'well', 'isCorrect': False, 'questionId': 59}, {'id': 236, 'text': 'cause', 'isCorrect': False, 'questionId': 59}]}]"
